variable,area,polarization,mean_dem,mean_rep,n_dem,n_rep,n_total,scale_range,direction
racdif1,Race: Explanations for Inequality,0.5624425732830622,1.2025605852766346,1.7650031585596968,2187,1583,3770,1.0,Rep higher
abhelp2,Abortion: Willingness to Help/Support,0.47212579942511024,1.3284132841328413,1.8005390835579516,542,371,913,1.0,Rep higher
abnomore,Abortion: Circumstances for Legality,0.47070395218111116,1.2023026315789473,1.6730065837600585,1824,1367,3191,1.0,Rep higher
abpoor,Abortion: Circumstances for Legality,0.44655814663486804,1.2205962059620596,1.6671543525969277,1845,1367,3212,1.0,Rep higher
absingle,Abortion: Circumstances for Legality,0.44331341098106014,1.2353896103896105,1.6787030213706706,1848,1357,3205,1.0,Rep higher
abhelp3,Abortion: Willingness to Help/Support,0.4393008557745153,1.169741697416974,1.6090425531914894,542,376,918,1.0,Rep higher
natrace,Race: Government Intervention,0.41886824073794804,1.3112750263435196,2.1490115078194156,4745,3389,8134,2.0,Rep higher
helpblk,Race: Government Intervention,0.4154178784920868,2.323903369357915,3.985574883326262,3146,2357,5503,4.0,Rep higher
eqwlth,Government: Income Redistribution,0.4139395502456035,2.352407754846779,4.8360450563204,3198,2397,5595,6.0,Rep higher
racdif3,Race: Explanations for Inequality,0.39827308721908916,1.2588878760255242,1.6571609632446134,2194,1578,3772,1.0,Rep higher
goveqinc1,Government: Income Redistribution,0.3934330255586779,2.188679245283019,3.7624113475177303,848,564,1412,4.0,Rep higher
cappun,Criminal Justice: Punishment,0.3834571440892154,1.5765472312703583,1.193090087181143,4298,3097,7395,1.0,Dem higher
grnexagg,Environment: Trade-offs & Sacrifice,0.3767326635339455,4.179122182680902,2.67219152854512,843,543,1386,4.0,Dem higher
goveqinc,Government: Income Redistribution,0.37262068789548886,2.5258215962441315,4.016304347826087,852,552,1404,4.0,Rep higher
polviews,Political Ideology,0.3594724481220131,3.0664854693706878,5.223320158102767,4783,3542,8325,6.0,Rep higher
wrkwayup,Race: Affirmative Action & Self-Help,0.3580840837503878,3.4373825923606764,2.0050462573591252,3194,2378,5572,4.0,Dem higher
natenvir,Spending: Environment & Energy,0.3421235213363256,1.1492753623188405,1.8335224049914918,4830,3526,8356,2.0,Rep higher
natarms,Military Spending,0.3327970254411575,2.288433382137628,1.622839331255313,4781,3529,8310,2.0,Dem higher
abhelp1,Abortion: Willingness to Help/Support,0.33079620704517865,1.0681399631675874,1.398936170212766,543,376,919,1.0,Rep higher
grncon,Environment: Personal Concern & Responsibility,0.32957140458399803,4.413953488372093,3.095667870036101,860,554,1414,4.0,Dem higher
tempgen1,Environment: Danger Assessments,0.32913465647294887,1.7205707491082045,3.037109375,841,512,1353,4.0,Rep higher
helpnot,Government: Role & Size,0.32409848389315754,2.291042397194772,3.5874363327674024,3137,2356,5493,4.0,Rep higher
govunemp,Government: Employment & Economy,0.31861712448374313,2.2836710369487485,3.558139534883721,839,559,1398,4.0,Rep higher
grntaxes,Environment: Trade-offs & Sacrifice,0.3158276747627754,2.669047619047619,3.9323583180987205,840,547,1387,4.0,Rep higher
gunlaw,Gun Control,0.31570571889588295,1.1575378195096504,1.4732435384055333,3834,2747,6581,1.0,Rep higher
natfare,Government: Welfare & Poverty,0.31376232665320947,1.4093652445369407,2.0368898978433596,4805,3524,8329,2.0,Rep higher
religinf,Religion in Public Life,0.31277258504564387,2.57388178913738,3.8249721293199554,2504,1794,4298,4.0,Rep higher
affrmact,Race: Affirmative Action & Self-Help,0.308292448799218,2.589593495934959,3.514470842332613,3075,2315,5390,3.0,Rep higher
helppoor,Government: Welfare & Poverty,0.30153724922840275,2.150361748977666,3.356510745891277,3179,2373,5552,4.0,Rep higher
